2.500000000000000000e+02,0.000000000000000000e+00,-5.000000000000000000e+01,0.000000000000000000e+00,-4.000000000000000083e-02,0.000000000000000000e+00
2.483499585706679511e+02,-3.649213984191342064e+01,-4.968634992742410361e+01,-3.690093519527801614e-03,-4.041819191641004422e-02,6.889012248037796595e-04
2.430792687512767145e+02,-7.369208150061479046e+01,-4.875153745090445057e+01,-8.073202835946764744e-03,-4.150039608833717975e-02,1.364336187215160756e-03
2.332917787742852624e+02,-1.120034800347276018e+02,-4.721377567529010832e+01,-1.370024907764796213e-02,-4.275986009557933287e-02,2.013278318875995343e-03
2.177010930322589957e+02,-1.512752559277141415e+02,-4.510275335916696093e+01,-2.086246715324742082e-02,-4.348113102210489356e-02,2.623583067229631662e-03
1.949037065364145462e+02,-1.906485148271017067e+02,-4.245862020142963900e+01,-2.951867681845481498e-02,-4.284557422289451273e-02,3.184465692666909979e-03
1.636928999329360579e+02,-2.285271585613577372e+02,-3.933050916202292768e+01,-3.927945441819988281e-02,-4.007373375406813459e-02,3.687042610782017595e-03
1.233604670222038067e+02,-2.626757558534808368e+02,-3.577454901979537993e+01,-4.944880192015730508e-02,-3.455872118815896121e-02,4.124897799034895306e-03
7.393827724488204467e+01,-2.904257864947105645e+02,-3.185139292418812573e+01,-5.911210760141394349e-02,-2.596808244896549323e-02,4.494557135277871956e-03
1.634613204673599540e+01,-3.089545217941275155e+02,-2.762341363170895292e+01,-6.725061731766582285e-02,-1.430037332454157754e-02,4.795724167625557005e-03
-4.756794965466922065e+01,-3.155934916822794207e+02,-2.315183709807995527e+01,-7.286003258601479737e-02,1.057093979939936648e-04,5.031167552920800742e-03
-1.150898795847341773e+02,-3.081265716490701720e+02,-1.849415130826914933e+01,-7.505482642191606268e-02,1.660120589436968330e-02,5.206231028801414779e-03
-1.827859222684829490e+02,-2.850485770627800548e+02,-1.370211155432828676e+01,-7.314855357623420429e-02,3.428131433010658813e-02,5.328028989303163106e-03
-2.467108956514397846e+02,-2.457687573577600233e+02,-8.820569036757564874e+00,-6.671016145552795262e-02,5.205017861852567068e-02,5.404467794033872112e-03
